,Unnamed: 0,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,n_sanitation,sanitation_index,under5_mort,n_under5_mort,women_edu,women_bmi,n_women_edu,n_women_bmi,cluster_id,adm1fips,adm1dhs,urban
0,1896,AO-2011-6#-00000001,AO,2011,-12.350257,13.534922,36.0,3.4733837665868053,36.0,1.0,36.0,1.0,0.0,28.0,0.8857718875278747,0.33838502238183943,56.0,,1,AO01,9,U
1,1897,AO-2011-6#-00000002,AO,2011,-12.360865,13.551494,32.0,2.9448536872896267,32.0,1.0,32.0,0.9519716382329886,0.3302891295379082,22.0,0.8382142772603999,0.33838502238183943,45.0,,2,AO01,9,U
2,1898,AO-2011-6#-00000003,AO,2011,-12.613421,13.413085,36.0,0.5422296800742565,36.0,1.0,36.0,0.7453559924999299,0.0,37.0,0.640908823157654,0.33838502238183943,43.0,,3,AO01,9,U
3,1899,AO-2011-6#-00000004,AO,2011,-12.581454,13.397711,35.0,0.8707516021195612,35.0,0.9856107606091623,35.0,0.7121396331779725,0.0,36.0,0.6358346595505111,0.33838502238183943,44.0,,4,AO01,9,U
4,1900,AO-2011-6#-00000005,AO,2011,-12.578135,13.418748,37.0,2.143655132318691,37.0,1.0,37.0,0.8542421961772491,0.0,35.0,0.7966275068156916,0.33838502238183943,52.0,,5,AO01,9,U
5,1901,AO-2011-6#-00000006,AO,2011,-12.575305,13.408575,27.0,2.0725577290967543,27.0,0.9953596037316065,27.0,0.8766518798921945,0.0,30.0,0.7780832435122776,0.33838502238183943,38.0,,6,AO01,9,U
6,1902,AO-2011-6#-00000007,AO,2011,-11.188879,13.838995,33.0,-1.561989200989539,33.0,0.4351941398892446,33.0,0.5903260526902472,0.21483446221182992,52.0,0.49264430647112195,0.33838502238183943,36.0,,7,AO06,6,U
7,1903,AO-2011-6#-00000008,AO,2011,-11.20005,13.832946,30.0,0.2520633035008617,30.0,0.9082951062292475,30.0,0.7958224257542215,0.0,34.0,0.5783509279999189,0.33838502238183943,28.0,,8,AO06,6,U
8,1904,AO-2011-6#-00000009,AO,2011,-8.593237,13.643248,36.0,-1.2425292854613474,36.0,0.1666666666666667,36.0,0.6400954789890507,0.24194335156365354,41.0,0.560611910581388,0.33838502238183943,37.0,,9,AO19,18,U
9,1905,AO-2011-6#-00000010,AO,2011,-8.583901,13.664315,36.0,1.127706813742103,36.0,1.0,36.0,0.7905694150420949,0.0,37.0,0.625642526870234,0.33838502238183943,44.0,,10,AO19,18,U
10,1906,AO-2011-6#-00000011,AO,2011,-12.752814,15.742476,33.0,1.1721028581600694,33.0,1.0,33.0,0.8211226608993472,0.0,38.0,0.6328426312428449,0.33838502238183943,35.0,,11,AO08,10,U
11,1907,AO-2011-6#-00000012,AO,2011,-12.782553,15.7543,34.0,0.0706982531400037,34.0,0.8660254037844386,34.0,0.8179961167749047,0.0,58.0,0.5391792704790177,0.33838502238183943,40.0,,12,AO08,10,U
12,1908,AO-2011-6#-00000013,AO,2011,-12.600115,13.200098,36.0,-2.052300133190287,36.0,0.8579691784155834,36.0,0.0,0.30094191754531147,53.0,0.497574290862293,0.33838502238183943,49.0,,13,AO01,9,R
