,country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural,water_index,sanitation_index,under5_mort,women_edu,women_bmi
0,angola,2011,-12.350257,13.534922,AGO.2,AGO.2.9,2.5956175327301,36,1,1.3078887158762376,2.611033119668871,-0.5290856906253024,2.227492913041659,-1.2029023104120196
1,angola,2011,-12.360865,13.551494,AGO.2,AGO.2.9,2.20962047576904,32,1,1.3078887158762376,2.2137441988496986,0.8533695697820409,1.8187901689059214,-1.2029023104120196
2,angola,2011,-12.613421,13.413085,AGO.2,AGO.2.3,0.906468868255615,36,1,1.3078887158762376,0.727589346896497,-0.5290856906253024,0.36401069666739616,-1.2029023104120196
3,angola,2011,-12.581454,13.397711,AGO.2,AGO.2.3,1.1053591966629,35,1,1.2117670640720832,0.5224285073623631,-0.5290856906253024,0.33171669453002794,-1.2029023104120196
4,angola,2011,-12.578135,13.418748,AGO.2,AGO.2.3,1.87934386730194,37,1,1.3078887158762376,1.4656956902802651,-0.5290856906253024,1.4798799389626573,-1.2029023104120196
5,angola,2011,-12.575305,13.408575,AGO.2,AGO.2.3,1.74931740760803,27,1,1.2767381805693356,1.6300728213499267,-0.5290856906253024,1.3343125368649176,-1.2029023104120196
6,angola,2011,-11.188879,13.838995,AGO.7,AGO.7.11,0.182361423969269,33,1,-1.4191990569007273,-0.14992422905426833,0.05579922723934319,-0.47377484368145456,-1.2029023104120196
7,angola,2011,-11.20005,13.832946,AGO.7,AGO.7.11,0.691215991973877,30,1,0.7191435985757899,1.0571920071316623,-0.5290856906253024,-0.016206818607067682,-1.2029023104120196
8,angola,2011,-8.593237,13.643248,AGO.1,AGO.1.2,0.527797996997833,36,1,-1.962917491348471,0.10958435895556151,0.21271957105668676,-0.11692151977833212,-1.2029023104120196
9,angola,2011,-8.583901,13.664315,AGO.1,AGO.1.2,0.891160488128662,35,1,1.3078887158762376,1.0218774363921803,-0.5290856906253024,0.2676255210574055,-1.2029023104120196
10,angola,2011,-12.752814,15.742476,AGO.9,AGO.9.5,0.936776995658875,33,1,1.3078887158762376,1.2305544453073012,-0.5290856906253024,0.31279453855239636,-1.2029023104120196
11,angola,2011,-12.782553,15.7543,AGO.9,AGO.9.5,-0.0526521876454353,34,1,0.46682426258988396,1.208836928542379,-0.5290856906253024,-0.23442200447814074,-1.2029023104120196
12,angola,2011,-12.600115,13.200098,AGO.2,AGO.2.1,-0.073469914495945,36,0,0.42009845962953113,-1.626715369068971,0.6186130161279637,-0.44943989824853875,-1.2029023104120196
13,angola,2011,-12.594752,13.202681,AGO.2,AGO.2.1,0.721672713756561,37,0,1.3078887158762376,-0.48137793968036496,0.014021733106153957,-0.09918559755949316,-1.2029023104120196
14,angola,2011,-12.426923,13.554357,AGO.2,AGO.2.9,-0.117268577218056,36,0,1.3078887158762376,-0.8615663363801939,-0.5290856906253024,-0.1966794245442629,-1.2029023104120196
15,angola,2011,-12.426737,13.558511,AGO.2,AGO.2.9,0.381618529558182,37,0,1.3078887158762376,0.26309138942222937,0.6874749385331598,-0.0035877189331266,-1.2029023104120196
16,angola,2011,-13.434386,14.269446,AGO.2,AGO.2.7,-1.14221024513245,37,0,-2.0563690972691773,-1.626715369068971,0.9916150958227754,-1.1649718200892687,-1.2029023104120196
17,angola,2011,-13.465144,14.278094,AGO.2,AGO.2.7,-0.85293048620224,37,0,-0.624286379511332,-1.626715369068971,0.1950575410166393,-0.8650878713362972,-1.2029023104120196
18,angola,2011,-12.34475,14.773096,AGO.2,AGO.2.2,-0.463503241539001,37,1,-0.4878975492486797,-1.4549147546606802,-0.03049526883904733,-0.6698649771891961,-1.2029023104120196
19,angola,2011,-12.371371,14.753342,AGO.2,AGO.2.2,-1.05712330341339,37,0,-1.7835914367438734,-1.598081933334256,0.10453963706139652,-1.101687486786252,-1.2029023104120196
20,angola,2011,-10.871302,14.353967,AGO.7,AGO.7.1,-1.06337440013885,37,0,-2.0563690972691773,-1.626715369068971,1.7238043633718498,-0.6182569211641822,-1.2029023104120196
21,angola,2011,-10.858034,14.35882,AGO.7,AGO.7.1,0.409533500671387,37,0,0.26224101719590626,0.5780591825040956,0.2507608665275579,-0.3371026082248203,-1.2029023104120196
22,angola,2011,-10.419603,13.970724,AGO.7,AGO.7.7,-0.906610667705536,33,0,-0.9859234294501813,-1.434090437762705,-0.5290856906253024,-0.840001425623308,-1.2029023104120196
23,angola,2011,-10.390981,13.984454,AGO.7,AGO.7.7,-1.17829394340515,23,0,-2.0563690972691773,-1.626715369068971,-0.5290856906253024,-1.1688306209004282,-1.2029023104120196
24,angola,2011,-11.537386,14.726956,AGO.7,AGO.7.10,-1.04396414756775,28,0,-1.7860269515699918,-0.9834856877426913,0.4213523009047462,-0.6522015056330158,-1.2029023104120196
25,angola,2011,-11.517536,14.75472,AGO.7,AGO.7.10,-1.1313544511795,26,0,-1.9593231988130593,-1.626715369068971,-0.5290856906253024,-1.2990476082733762,-1.2029023104120196
26,angola,2011,-9.096796,13.6464,AGO.1,AGO.1.3,0.152510479092598,37,0,-0.28331430385470197,-1.2831141402523891,0.10453963706139652,-0.6953854444543129,-1.2029023104120196
27,angola,2011,-9.172912,13.648187,AGO.1,AGO.1.3,-0.813847541809082,33,0,-1.9544218908102253,-0.9525281094970415,-0.5290856906253024,-0.5347010209332073,-1.2029023104120196
28,angola,2011,-8.159112,14.469092,AGO.1,AGO.1.5,-0.430856823921204,37,0,0.39862984745855795,-0.13777671086378337,-0.5290856906253024,-0.892424718797069,-1.2029023104120196
29,angola,2011,-8.159944,14.460016,AGO.1,AGO.1.5,-0.249424755573273,37,0,0.1258521869332542,-0.4527445039456501,0.5196734724423373,-0.5007564364643736,-1.2029023104120196
30,angola,2011,-6.013011,14.173505,AGO.18,AGO.18.2,-0.837387084960938,36,0,-2.0563690972691773,-0.06698849474184843,0.4213523009047462,-0.14933544659207257,-1.2029023104120196
31,angola,2011,-5.869627,14.099057,AGO.18,AGO.18.2,-0.932220935821533,17,0,-2.0563690972691773,0.11823989099955264,-0.5290856906253024,-1.2359737550146044,-1.2029023104120196
32,angola,2011,-5.872087,13.439567,AGO.18,AGO.18.4,-0.943604350090027,37,0,-2.0563690972691773,-0.8536126042316619,-0.5290856906253024,-0.7286700750408278,-1.2029023104120196
33,angola,2011,-5.897936,13.408697,AGO.18,AGO.18.4,-1.14929592609406,37,0,-2.0563690972691773,-1.4262813189259649,-0.5290856906253024,-0.6876381597488311,-1.2029023104120196
